icmT,accX,accY,accZ,accT,gyrX,gyrY,gyrZ,gyrT,magX,magY,magZ,magT
1400.000000,0.309570,-0.973144,0.251465,140.000000,0.450134,0.131607,0.246048,140.000000,-18.673645,-2.028427,-30.328522,140.000000
1410.000000,0.305176,-0.970703,0.249023,141.000000,0.572205,-0.169754,0.307083,141.000000,-20.023636,-2.028427,-30.328522,141.000000
1420.000000,0.319824,-0.960449,0.258301,142.000000,0.083923,-0.535965,0.429153,142.000000,-18.523636,-2.478424,-29.428528,142.000000
1430.000000,0.318848,-0.955566,0.258301,143.000000,0.144958,-0.169754,0.612259,143.000000,-18.523636,-2.928421,-29.878525,143.000000
1440.000000,0.304687,-0.973144,0.279297,144.000000,0.694275,0.497818,0.001907,144.000000,-20.323639,-2.928421,-29.878525,144.000000
1450.000000,0.324219,-0.971679,0.242676,145.000000,0.450134,0.925064,0.246048,145.000000,-18.223648,-2.478424,-29.428528,145.000000
1460.000000,0.319824,-0.963867,0.251465,146.000000,0.511169,0.864029,0.368118,146.000000,-19.123642,-2.928421,-30.478516,146.000000
1470.000000,0.314453,-0.975586,0.255859,147.000000,0.205994,1.291275,0.368118,147.000000,-19.123642,-1.578430,-28.528519,147.000000
1480.000000,0.314453,-0.958496,0.251465,148.000000,-0.095367,0.192642,0.246048,148.000000,-19.873642,-1.578430,-28.528519,148.000000
1490.000000,0.313965,-0.968261,0.251465,149.000000,-0.034332,0.497818,0.429153,149.000000,-19.123642,-1.578430,-29.578522,149.000000
1500.000000,0.319824,-0.968261,0.252930,150.000000,0.267029,-0.169754,0.246048,150.000000,-20.323639,-1.578430,-28.978516,150.000000
1510.000000,0.321777,-0.960937,0.251953,151.000000,0.694275,-0.413895,-0.116348,151.000000,-20.023636,-2.478424,-30.178528,151.000000
1520.000000,0.315430,-0.962402,0.262207,152.000000,0.694275,-0.474930,0.307083,152.000000,-20.023636,-1.728424,-28.378525,152.000000
1530.000000,0.300781,-0.959961,0.252441,153.000000,0.572205,-0.108719,-0.116348,153.000000,-20.473648,-1.728424,-28.378525,153.000000
1540.000000,0.314941,-0.970703,0.249023,154.000000,0.144958,0.680923,0.123978,154.000000,-19.123642,-0.828430,-29.278519,154.000000
1550.000000,0.307129,-0.977539,0.253906,155.000000,0.816345,0.070572,-0.299454,155.000000,-19.123642,-0.828430,-28.528519,155.000000
1560.000000,0.319824,-0.965820,0.248047,156.000000,0.389099,0.619888,0.001907,156.000000,-19.873642,-0.828430,-28.528519,156.000000
1570.000000,0.314453,-0.968261,0.258301,157.000000,0.205994,-0.108719,-0.116348,157.000000,-19.423645,-3.528427,-28.978516,157.000000
1580.000000,0.309082,-0.949707,0.264160,158.000000,0.450134,-0.230789,0.429153,158.000000,-19.423645,-0.828430,-29.578522,158.000000
1590.000000,0.320801,-0.974609,0.248047,159.000000,0.328064,-0.352859,-0.055313,159.000000,-19.123642,-0.828430,-29.578522,159.000000
1600.000000,0.307617,-0.966797,0.260742,160.000000,-0.034332,-0.719070,0.123978,160.000000,-20.323639,-1.278427,-28.978516,160.000000
1610.000000,0.320801,-0.963867,0.250488,161.000000,-0.034332,-0.169754,-0.116348,161.000000,-19.273636,-1.428421,-29.128525,161.000000
1620.000000,0.315430,-0.966308,0.257324,162.000000,-0.400543,-0.413895,-0.177383,162.000000,-19.273636,-3.228424,-29.128525,162.000000
1630.000000,0.305664,-0.963379,0.246094,163.000000,0.328064,-0.719070,-0.299454,163.000000,-20.173645,-3.228424,-29.128525,163.000000
1640.000000,0.306152,-0.958008,0.257812,164.000000,-0.034332,-0.658035,-0.055313,164.000000,-18.973648,-2.778427,-29.578522,164.000000
1650.000000,0.308594,-0.965820,0.256348,165.000000,0.205994,-0.719070,-0.055313,165.000000,-18.973648,-2.178421,-30.178528,165.000000
1660.000000,0.312500,-0.975586,0.260254,166.000000,-0.217438,-0.658035,0.062943,166.000000,-18.973648,-2.178421,-30.178528,166.000000
1670.000000,0.308105,-0.965820,0.262695,167.000000,-0.278473,-0.658035,0.185013,167.000000,-19.873642,-3.228424,-29.428528,167.000000
1680.000000,0.312012,-0.961426,0.268555,168.000000,0.389099,-0.352859,-0.055313,168.000000,-19.873642,-3.078430,-28.978516,168.000000
1690.000000,0.310547,-0.964844,0.250000,169.000000,0.083923,0.375748,-0.360489,169.000000,-20.173645,-3.078430,-28.978516,169.000000
1700.000000,0.305664,-0.965332,0.257324,170.000000,-0.034332,-0.230789,0.001907,170.000000,-20.173645,-2.028427,-28.978516,170.000000
1710.000000,0.307129,-0.953125,0.259766,171.000000,-0.095367,-0.047684,0.307083,171.000000,-20.173645,-3.078430,-28.528519,171.000000
1720.000000,0.312988,-0.975097,0.257324,172.000000,-0.278473,-0.902176,0.062943,172.000000,-19.423645,-3.078430,-28.528519,172.000000
1730.000000,0.317383,-0.962890,0.252930,173.000000,0.083923,-0.047684,0.185013,173.000000,-19.423645,-2.028427,-28.978516,173.000000
1740.000000,0.319824,-0.964355,0.256836,174.000000,0.022888,-0.291824,0.123978,174.000000,-19.423645,-2.778427,-29.278519,174.000000
1750.000000,0.299316,-0.965332,0.245605,175.000000,0.694275,0.009537,0.307083,175.000000,-20.173645,-2.778427,-29.278519,175.000000
1760.000000,0.307129,-0.969238,0.263672,176.000000,-0.278473,0.253677,-0.055313,176.000000,-20.173645,-0.078430,-29.578522,176.000000
1770.000000,0.315430,-0.981933,0.258789,177.000000,0.022888,0.253677,0.307083,177.000000,-19.423645,-1.578430,-30.028519,177.000000
1780.000000,0.306152,-0.965332,0.255859,178.000000,-0.034332,-0.291824,0.368118,178.000000,-19.423645,-1.278427,-29.578522,178.000000
1790.000000,0.312988,-0.967285,0.243652,179.000000,0.022888,0.253677,0.123978,179.000000,-20.023636,-1.278427,-29.578522,179.000000
1800.000000,0.305664,-0.961426,0.250488,180.000000,0.328064,-0.474930,0.185013,180.000000,-19.273636,-1.428421,-28.378525,180.000000
1810.000000,0.305664,-0.969238,0.255859,181.000000,0.816345,0.009537,1.039505,181.000000,-19.273636,-0.678421,-28.678528,181.000000
1820.000000,0.304687,-0.972168,0.256836,182.000000,0.694275,-0.291824,0.612259,182.000000,-19.123642,-0.678421,-28.678528,182.000000
1830.000000,0.302246,-0.968750,0.257812,183.000000,0.205994,-0.169754,-0.055313,183.000000,-20.323639,-2.778427,-29.578522,183.000000
1840.000000,0.303223,-0.965332,0.251465,184.000000,0.572205,0.131607,0.123978,184.000000,-19.123642,-2.178421,-28.078522,184.000000
1850.000000,0.305664,-0.972168,0.252930,185.000000,0.083923,0.192642,0.123978,185.000000,-19.273636,-2.028427,-28.228516,185.000000
1860.000000,0.305176,-0.970703,0.259766,186.000000,0.205994,0.192642,-0.421524,186.000000,-19.273636,-2.478424,-29.128525,186.000000
1870.000000,0.309082,-0.967773,0.265137,187.000000,0.022888,0.436783,0.551224,187.000000,-20.173645,-2.478424,-29.128525,187.000000
1880.000000,0.315430,-0.972168,0.261719,188.000000,0.205994,-0.047684,0.856400,188.000000,-19.573639,-3.528427,-28.228516,188.000000
1890.000000,0.314453,-0.961914,0.258301,189.000000,0.144958,0.558853,0.368118,189.000000,-19.573639,-3.978424,-28.678528,189.000000
1900.000000,0.310547,-0.967773,0.253418,190.000000,0.083923,1.169205,-0.177383,190.000000,-19.273636,-3.978424,-28.678528,190.000000
1910.000000,0.317383,-0.971679,0.253418,191.000000,0.816345,0.192642,0.185013,191.000000,-19.873642,-2.178421,-29.128525,191.000000
1920.000000,0.306152,-0.963867,0.250488,192.000000,0.450134,0.131607,0.062943,192.000000,-18.973648,-2.778427,-28.528519,192.000000
